Unique_ID,Domain,Taxonomic group,Scientific name,COSEWIC common name,COSEWIC population,COSEWIC status,COSEWIC last assessment date,Estimated re-assessment,Legal common name,Legal population,Schedule 1 status,Last status change,SARA schedule,Date added,Range,Under consideration for,GIC decision,Scheduled Assessment
Rangifer tarandus caribou - Woodland Caribou (Southern Mountain population),Terrestrial,Mammals (terrestrial),Rangifer tarandus caribou,Woodland Caribou,Southern Mountain population,Non-active,2014-05-02,2024-05-02 00:00:00,Woodland Caribou,Southern Mountain population,Threatened,2003-06-05,Schedule 1,2003-06-05,"Alberta, British Columbia",NA,Added to list,9999-01-01
Rangifer tarandus caribou - Woodland Caribou (Western population),Terrestrial,Mammals (terrestrial),Rangifer tarandus caribou,Woodland Caribou,Western population,Non-active,2000-05-01,2010-05-01 00:00:00,Woodland Caribou,Western population,NA,9999-01-01,No schedule,9999-01-01,"Alberta, British Columbia, Manitoba, Northwest Territories, Ontario, Saskatchewan",NA,NA,9999-01-01
Rangifer tarandus dawsoni - Caribou dawsoni subspecies,Terrestrial,Mammals (terrestrial),Rangifer tarandus dawsoni,Caribou dawsoni subspecies,NA,Extinct,2000-05-01,2010-05-01 00:00:00,NA,NA,No Status,9999-01-01,No schedule,9999-01-01,British Columbia,NA,NA,9999-01-01
Ranunculus alismifolius - Water-plantain Buttercup,Terrestrial,Vascular Plants,Ranunculus alismifolius,Water-plantain Buttercup,NA,Endangered,2009-04-26,2019-04-26 00:00:00,Water-plantain Buttercup,NA,Endangered,2003-06-05,Schedule 1,2003-06-05,British Columbia,NA,Added to list,9999-01-01
Ranunculus californicus - California Buttercup,Terrestrial,Vascular Plants,Ranunculus californicus,California Buttercup,NA,Endangered,2008-11-28,2018-11-28 00:00:00,California Buttercup,NA,Endangered,2011-02-04,Schedule 1,2011-02-04,British Columbia,NA,Added to list,9999-01-01
Reithrodontomys megalotis megalotis - Western Harvest Mouse megalotis subspecies,Terrestrial,Mammals (terrestrial),Reithrodontomys megalotis megalotis,Western Harvest Mouse megalotis subspecies,NA,Endangered,2019-11-29,2029-11-29 00:00:00,Western Harvest Mouse megalotis subspecies,NA,Special Concern,9999-01-01,Schedule 1,2009-03-05,British Columbia,Status change,Pending,9999-01-01
Rhinichthys cataractae - Nooksack Dace,Aquatic,Fishes (freshwater),Rhinichthys cataractae,Nooksack Dace,NA,Endangered,2018-11-01,2028-11-01 00:00:00,Nooksack Dace,NA,Endangered,2003-06-05,Schedule 1,2003-06-05,British Columbia,NA,Added to list,9999-01-01
Rhinichthys falcatus - Leopard Dace,Aquatic,Fishes (freshwater),Rhinichthys falcatus,Leopard Dace,NA,Not at Risk,1990-04-01,2000-04-01 00:00:00,NA,NA,No Status,9999-01-01,No schedule,9999-01-01,British Columbia,NA,NA,9999-01-01
Rhinichthys osculus - Speckled Dace,Aquatic,Fishes (freshwater),Rhinichthys osculus,Speckled Dace,NA,Endangered,2016-11-27,2026-11-27 00:00:00,Speckled Dace,NA,Endangered,2009-03-05,Schedule 1,2009-03-05,British Columbia,NA,Added to list,9999-01-01
Rhinichthys umatilla - Umatilla Dace,Aquatic,Fishes (freshwater),Rhinichthys umatilla,Umatilla Dace,NA,Threatened,2010-04-25,2020-04-25 00:00:00,Umatilla Dace,NA,NA,9999-01-01,NA,9999-01-01,British Columbia,NA,NA,9999-01-01
Rhododendron macrophyllum - Pacific Rhododendron,Terrestrial,Vascular Plants,Rhododendron macrophyllum,Pacific Rhododendron,NA,Not at Risk,1997-04-01,2007-04-01 00:00:00,NA,NA,No Status,9999-01-01,No schedule,9999-01-01,British Columbia,NA,NA,9999-01-01
Riparia riparia - Bank Swallow,Terrestrial,Birds,Riparia riparia,Bank Swallow,NA,Threatened,2013-05-03,2023-05-03 00:00:00,Bank Swallow,NA,Threatened,2017-11-02,Schedule 1,2017-11-02,"Alberta, British Columbia, Manitoba, New Brunswick, Newfoundland and Labrador, Northwest Territories, Nova Scotia, Ontario, Prince Edward Island, Quebec, Saskatchewan, Yukon",NA,Added to list,9999-01-01
Rotala ramosior - Toothcup,Terrestrial,Vascular Plants,Rotala ramosior,Toothcup,NA,Non-active,2014-11-28,2024-11-28 00:00:00,Toothcup,NA,No Status,2019-02-25,No schedule,2003-06-05,"British Columbia, Ontario",NA,Struck - WS reassignment,9999-01-01
Rotala ramosior - Toothcup (Southern Mountain population),Terrestrial,Vascular Plants,Rotala ramosior,Toothcup,Southern Mountain population,Endangered,2014-11-28,2024-11-28 00:00:00,Toothcup,Southern Mountain population,Endangered,9999-01-01,Schedule 1,2003-06-05,British Columbia,NA,NA,9999-01-01
Salvelinus confluentus - Bull Trout (Pacific population),Aquatic,Fishes (freshwater),Salvelinus confluentus,Bull Trout,Pacific population,Not at Risk,2012-11-25,2022-11-25 00:00:00,NA,NA,No Status,9999-01-01,No schedule,9999-01-01,British Columbia,NA,NA,2025-04-01
Salvelinus confluentus - Bull Trout (South Coast British Columbia population),Aquatic,Fishes (freshwater),Salvelinus confluentus,Bull Trout,South Coast British Columbia population,Special Concern,2012-11-25,2022-11-25 00:00:00,Bull Trout,South Coast British Columbia population,Special Concern,2019-08-08,Schedule 1,2019-08-08,British Columbia,NA,Added to list,2025-04-01
Salvelinus confluentus - Bull Trout (Upper Yukon River population),Aquatic,Fishes (freshwater),Salvelinus confluentus,Bull Trout,Upper Yukon River population,Data Deficient,2012-11-25,2022-11-25 00:00:00,NA,NA,No Status,9999-01-01,No schedule,9999-01-01,"British Columbia, Yukon",NA,NA,2025-04-01
Salvelinus confluentus - Bull Trout (Western Arctic population),Aquatic,Fishes (freshwater),Salvelinus confluentus,Bull Trout,Western Arctic population,Special Concern,2012-11-25,2022-11-25 00:00:00,Bull Trout,Western Arctic population,Special Concern,2019-08-08,Schedule 1,2019-08-08,"Alberta, British Columbia, Northwest Territories, Yukon",NA,Added to list,2025-04-01
Sanicula arctopoides - Bear's-foot Sanicle,Terrestrial,Vascular Plants,Sanicula arctopoides,Bear's-foot Sanicle,NA,Threatened,2015-11-26,2025-11-26 00:00:00,Bear's-foot Sanicle,NA,Threatened,2019-02-25,Schedule 1,2003-06-05,British Columbia,NA,Downlisted: Endangered to threatened,9999-01-01
Sanicula bipinnatifida - Purple Sanicle,Terrestrial,Vascular Plants,Sanicula bipinnatifida,Purple Sanicle,NA,Threatened,2001-05-01,2011-05-01 00:00:00,Purple Sanicle,NA,Threatened,2003-06-05,Schedule 1,2003-06-05,British Columbia,NA,Added to list,9999-01-01
Sardinops sagax - Pacific Sardine,Aquatic,Fishes (marine),Sardinops sagax,Pacific Sardine,NA,Not at Risk,2002-05-01,2012-05-01 00:00:00,Pacific Sardine,NA,NA,9999-01-01,NA,9999-01-01,Pacific Ocean,NA,NA,9999-01-01
Satyrium behrii - Behr's Hairstreak,Terrestrial,Arthropods,Satyrium behrii,Behr's Hairstreak,NA,Endangered,2012-05-04,2022-05-04 00:00:00,Behr's Hairstreak,NA,Endangered,2017-02-03,Schedule 1,2003-06-05,British Columbia,NA,Uplisted: Threatened to endangered,9999-01-01
Satyrium semiluna - Half-moon Hairstreak,Terrestrial,Arthropods,Satyrium semiluna,Half-moon Hairstreak,NA,Non-active,2022-12-03,2032-12-03 00:00:00,Half-moon Hairstreak,NA,Endangered,2007-12-13,Schedule 1,2007-12-13,"Alberta, British Columbia",NA,Added to list,9999-01-01
